station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Улица 1905 года,7,55.763944,37.562271,3.591213461449632
Тропарёво,1,55.6459,37.4725,14.867200028330974
Аминьевская,11,55.697189,37.464931,11.274895629349396
Площадь Революции,3,55.756741,37.62236,0.6600449992212335
Цветной бульвар,9,55.771653,37.620466,2.18543095755156
Лесопарковая,12,55.581656,37.577816,19.13783273042564
Петровский парк,11,55.791957,37.557322,5.738700112380571
Петровский парк,81,55.791957,37.557322,5.738700112380571
Полянка,9,55.736795,37.618594,1.7279143907304444
Ломоносовский проспект,81,55.70706,37.516063,8.022313826934367
Технопарк,2,55.695,37.664167,7.065030440157153
Парк культуры,1,55.736163,37.595027,2.2043099553771235
Парк культуры,5,55.735221,37.593095,2.3606550638760377
Парк культуры,1,56.242034,43.85816,393.18121145929445
Международная,4,55.748324,37.533282,5.184782143118415
Международная,5,59.870203,30.379289,628.1065974611689
Зорге,14,55.787778,37.504444,8.019302947362789
Лужники,14,55.720278,37.563056,4.85028036916059
Сретенский бульвар,10,55.766106,37.635688,1.9967474804544205
Белокаменная,14,55.83,37.700556,10.169582641474172
Боровицкая,9,55.750399,37.60934,0.44005868106257917
Крестьянская застава,10,55.732278,37.665325,3.8339403866074617
ЗИЛ,14,55.698333,37.648333,6.3431790495095415
Выставочный центр,13,55.824086,37.638494,8.12973483937206
Улица Милашенкова,13,55.821876,37.591206,7.9044228929220655
Улица Академика Королёва,13,55.821821,37.627167,7.783369460943792
Улица Эйзенштейна,13,55.829305,37.644997,8.778892892555426
Телецентр,13,55.821795,37.608975,7.757345817393256
